cycle: 0; nbPreys: 200; minEnergyPreys: 0.004; maxSizePreys: 0.998; nbPredators: 20; minEnergyPredators: 0.081; maxSizePredators: 0.98
cycle: 1; nbPreys: 198; minEnergyPreys: 0.05301960784313724; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.061; maxSizePredators: 0.96
cycle: 2; nbPreys: 196; minEnergyPreys: 0.03301960784313723; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.040999999999999995; maxSizePredators: 1.0
cycle: 3; nbPreys: 200; minEnergyPreys: 0.003999999999999948; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.020999999999999994; maxSizePredators: 0.98
cycle: 4; nbPreys: 204; minEnergyPreys: 0.02299999999999995; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 9.99999999999994E-4; maxSizePredators: 0.96
cycle: 5; nbPreys: 206; minEnergyPreys: 0.09019607843137255; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.024999999999999984; maxSizePredators: 1.0
cycle: 6; nbPreys: 213; minEnergyPreys: 0.040196078431372545; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.004999999999999984; maxSizePredators: 1.0
cycle: 7; nbPreys: 207; minEnergyPreys: 0.0019607843137253583; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.03399999999999999; maxSizePredators: 1.0
cycle: 8; nbPreys: 203; minEnergyPreys: 0.0695049019607843; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.013999999999999988; maxSizePredators: 0.98
cycle: 9; nbPreys: 206; minEnergyPreys: 0.01950490196078429; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.28499999999999986; maxSizePredators: 1.0
cycle: 10; nbPreys: 202; minEnergyPreys: 0.011019607843137283; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.26499999999999985; maxSizePredators: 1.0
cycle: 11; nbPreys: 201; minEnergyPreys: 0.0058431372549017785; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.24799999999999986; maxSizePredators: 1.0
cycle: 12; nbPreys: 214; minEnergyPreys: 0.005000000000000074; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.22799999999999987; maxSizePredators: 1.0
cycle: 13; nbPreys: 218; minEnergyPreys: 0.01094117647058783; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.20799999999999988; maxSizePredators: 0.98
cycle: 14; nbPreys: 228; minEnergyPreys: 0.012705882352940664; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.1879999999999999; maxSizePredators: 0.96
cycle: 15; nbPreys: 229; minEnergyPreys: 0.014999999999999916; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.1679999999999999; maxSizePredators: 0.94
cycle: 16; nbPreys: 235; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.1479999999999999; maxSizePredators: 0.9199999999999999
cycle: 17; nbPreys: 233; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.12799999999999992; maxSizePredators: 0.8999999999999999
cycle: 18; nbPreys: 228; minEnergyPreys: 0.01737254901960714; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.10799999999999992; maxSizePredators: 1.0
cycle: 19; nbPreys: 223; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.2419999999999997; maxSizePredators: 1.0
cycle: 20; nbPreys: 226; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.2219999999999997; maxSizePredators: 0.98
cycle: 21; nbPreys: 234; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.2019999999999997; maxSizePredators: 1.0
cycle: 22; nbPreys: 233; minEnergyPreys: 0.0051960784313719866; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.18199999999999972; maxSizePredators: 1.0
cycle: 23; nbPreys: 238; minEnergyPreys: 0.008823529411764175; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.16199999999999973; maxSizePredators: 1.0
cycle: 24; nbPreys: 239; minEnergyPreys: 0.009058823529409898; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.14199999999999974; maxSizePredators: 1.0
cycle: 25; nbPreys: 236; minEnergyPreys: 0.003745098039214065; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.12199999999999973; maxSizePredators: 1.0
cycle: 26; nbPreys: 235; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.10199999999999973; maxSizePredators: 1.0
cycle: 27; nbPreys: 238; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.08199999999999973; maxSizePredators: 1.0
cycle: 28; nbPreys: 238; minEnergyPreys: 1.8041124150158794E-16; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.06199999999999972; maxSizePredators: 1.0
cycle: 29; nbPreys: 236; minEnergyPreys: 0.04117647058823412; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.04199999999999972; maxSizePredators: 0.98
cycle: 30; nbPreys: 234; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.021999999999999718; maxSizePredators: 0.96
cycle: 31; nbPreys: 228; minEnergyPreys: 0.004509803921573574; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.0019999999999997173; maxSizePredators: 0.94
cycle: 32; nbPreys: 227; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.25499999999999945; maxSizePredators: 0.9199999999999999
cycle: 33; nbPreys: 221; minEnergyPreys: 0.004313725490196277; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.23499999999999946; maxSizePredators: 1.0
cycle: 34; nbPreys: 222; minEnergyPreys: 0.005882352941185456; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.21499999999999947; maxSizePredators: 1.0
cycle: 35; nbPreys: 220; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.19499999999999948; maxSizePredators: 1.0
cycle: 36; nbPreys: 216; minEnergyPreys: 0.04372549019607905; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.1749999999999995; maxSizePredators: 1.0
cycle: 37; nbPreys: 223; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.1549999999999995; maxSizePredators: 1.0
cycle: 38; nbPreys: 208; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.1349999999999995; maxSizePredators: 1.0
cycle: 39; nbPreys: 202; minEnergyPreys: 0.006666666666666682; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.1149999999999995; maxSizePredators: 1.0
cycle: 40; nbPreys: 182; minEnergyPreys: 4.0245584642661925E-16; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.0949999999999995; maxSizePredators: 1.0
cycle: 41; nbPreys: 177; minEnergyPreys: 0.02043137254901556; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.0749999999999995; maxSizePredators: 1.0
cycle: 42; nbPreys: 171; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.054999999999999494; maxSizePredators: 1.0
cycle: 43; nbPreys: 154; minEnergyPreys: 1.249000902703301E-16; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03499999999999949; maxSizePredators: 1.0
cycle: 44; nbPreys: 146; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.01499999999999949; maxSizePredators: 1.0
cycle: 45; nbPreys: 150; minEnergyPreys: 9.803921568670299E-4; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 46; nbPreys: 142; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.05999999999999939; maxSizePredators: 1.0
cycle: 47; nbPreys: 142; minEnergyPreys: 0.008039215686273485; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.98
cycle: 48; nbPreys: 134; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.96
cycle: 49; nbPreys: 133; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.94
cycle: 50; nbPreys: 128; minEnergyPreys: 0.03520392156862748; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 51; nbPreys: 122; minEnergyPreys: 1.8041124150158794E-16; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 52; nbPreys: 118; minEnergyPreys: 0.02500000000000671; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 53; nbPreys: 115; minEnergyPreys: 0.029019607843136702; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.05999999999999939; maxSizePredators: 1.0
cycle: 54; nbPreys: 110; minEnergyPreys: 1.3461454173580023E-15; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 55; nbPreys: 107; minEnergyPreys: 0.006666666666667001; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.98
cycle: 56; nbPreys: 105; minEnergyPreys: 1.9607843137593728E-4; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.1199999999999994; maxSizePredators: 0.96
cycle: 57; nbPreys: 106; minEnergyPreys: 0.02745098039216995; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.94
cycle: 58; nbPreys: 107; minEnergyPreys: 5.689893001203927E-16; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.9199999999999999
cycle: 59; nbPreys: 103; minEnergyPreys: 0.049999999999999795; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.8999999999999999
cycle: 60; nbPreys: 101; minEnergyPreys: 0.04999999999999957; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 61; nbPreys: 101; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 62; nbPreys: 98; minEnergyPreys: 0.05862745098039393; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.22499999999999903; maxSizePredators: 1.0
cycle: 63; nbPreys: 95; minEnergyPreys: 0.008627450980393928; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.27999999999999936; maxSizePredators: 1.0
cycle: 64; nbPreys: 94; minEnergyPreys: 0.033333333333333354; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.25999999999999934; maxSizePredators: 1.0
cycle: 65; nbPreys: 89; minEnergyPreys: 1.8041124150158794E-16; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.23999999999999935; maxSizePredators: 1.0
cycle: 66; nbPreys: 86; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.21999999999999936; maxSizePredators: 1.0
cycle: 67; nbPreys: 81; minEnergyPreys: 0.08882352941176778; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.19999999999999937; maxSizePredators: 1.0
cycle: 68; nbPreys: 81; minEnergyPreys: 0.03882352941176778; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.17999999999999938; maxSizePredators: 1.0
cycle: 69; nbPreys: 82; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1599999999999994; maxSizePredators: 0.98
cycle: 70; nbPreys: 75; minEnergyPreys: 0.03333333333333274; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1399999999999994; maxSizePredators: 0.96
cycle: 71; nbPreys: 77; minEnergyPreys: 0.033333333333333354; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1199999999999994; maxSizePredators: 0.94
cycle: 72; nbPreys: 73; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.9199999999999999
cycle: 73; nbPreys: 72; minEnergyPreys: 0.04745098039217241; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.8999999999999999
cycle: 74; nbPreys: 71; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.8799999999999999
cycle: 75; nbPreys: 71; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.8599999999999999
cycle: 76; nbPreys: 74; minEnergyPreys: 0.040980392156866094; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 77; nbPreys: 77; minEnergyPreys: 0.009019607843140764; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 78; nbPreys: 79; minEnergyPreys: 0.057254901960791055; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.1599999999999994; maxSizePredators: 1.0
cycle: 79; nbPreys: 78; minEnergyPreys: 0.007254901960791052; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.1399999999999994; maxSizePredators: 1.0
cycle: 80; nbPreys: 75; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.1199999999999994; maxSizePredators: 1.0
cycle: 81; nbPreys: 69; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.0999999999999994; maxSizePredators: 1.0
cycle: 82; nbPreys: 67; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
